Station ID,Station Name,Domain,Centre,State,Country,Mode,Address,Address Link,View Details
8637,1Buy.Ai (Sharpbuy Global Solutions Pvt Ltd),CSIS/IT,New Delhi,Delhi,India,Onsite,"Sharpbuy Global Solutions Pvt. Ltd., Building No 258, 3rd Floor, Onwards Workspaces, Okhla Industrial Estate Phase 3, New Delhi 110020 Sharpbuy Global Solutions Pvt. Ltd., Building No 258, 3rd Floor, Onwards Workspaces, Okhla Industrial Estate Phase 3, New Delhi 110020","https://www.google.com/maps/search/Sharpbuy+Global+Solutions+Pvt.+Ltd.,+Building+No+258,+3rd+Floor,+Onwards+Workspaces,+Okhla+Industrial+Estate+Phase+3,+New+Delhi+110020+Sharpbuy+Global+Solutions+Pvt.+Ltd.,+Building+No+258,+3rd+Floor,+Onwards+Workspaces,+Okhla+Industrial+Estate+Phase+3,+New+Delhi+110020",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8637/114356
8510,505 Army Base Workshop,Others,Delhi,Delhi,India,Onsite,505 Army Base Workshop Delhi Cantt-110010 505 Army Base Workshop Delhi Cantt-110010,https://www.google.com/maps/search/505+Army+Base+Workshop+Delhi+Cantt-110010+505+Army+Base+Workshop+Delhi+Cantt-110010,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8510/114356
8881,515 Army Base Workshop,Mechanical,Bengaluru,Karnataka,India,Onsite,515 Army Base workshop Pin 900493 c/o 56 APO,https://www.google.com/maps/search/515+Army+Base+workshop+Pin+900493+c/o+56+APO,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8881/114356
8861,ABC Consultant Pvt. Ltd.,Finance and Mgmt,PAN India,Karnataka,India,Onsite,Pan India Pan India,https://www.google.com/maps/search/Pan+India+Pan+India,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8861/114356
8873,AC Aganral Share Btokers Pvt' Ltd.,Finance and Mgmt,Vadodara,Gujarat,India,Online,"406, Payal Co-Op Society, Sayaiigani' Vadodara - 390020 Vadodara - 390020","https://www.google.com/maps/search/406,+Payal+Co-Op+Society,+Sayaiigani'+Vadodara+-+390020+Vadodara+-+390020",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8873/114356
8635,Action For India,Finance and Mgmt,New Delhi,Delhi,India,Online,"15-A, 4th floor Pratap Nagar, Mayur Vihar near India bank, above KBM electronics, New Delhi 110 091, INDIA 15-A, 4th floor Pratap Nagar, Mayur Vihar near India bank, above KBM electronics, New Delhi 110 091, INDIA","https://www.google.com/maps/search/15-A,+4th+floor+Pratap+Nagar,+Mayur+Vihar+near+India+bank,+above+KBM+electronics,+New+Delhi+110+091,+INDIA+15-A,+4th+floor+Pratap+Nagar,+Mayur+Vihar+near+India+bank,+above+KBM+electronics,+New+Delhi+110+091,+INDIA",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8635/114356
8648,Adani Natural Resources,Finance and Mgmt,Ahmedabad,Gujarat,India,Onsite,"Adani Enterprises Ltd. Adani Corporate House Shantigram, S G Highway Ahmedabad — 382421 Gujarat, India Ahmedabad — 382421","https://www.google.com/maps/search/Adani+Enterprises+Ltd.+Adani+Corporate+House+Shantigram,+S+G+Highway+Ahmedabad+—+382421+Gujarat,+India+Ahmedabad+—+382421",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8648/114356
4301,AdaptNXT Technology Solutions Pvt. Ltd - Non Tech,CSIS/IT,Bengaluru,Karnataka,India,Onsite,"First Floor, L, 374, 5th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102 First Floor, L, 374, 5th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102","https://www.google.com/maps/search/First+Floor,+L,+374,+5th+Main+Rd,+Sector+6,+HSR+Layout,+Bengaluru,+Karnataka+560102+First+Floor,+L,+374,+5th+Main+Rd,+Sector+6,+HSR+Layout,+Bengaluru,+Karnataka+560102",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/4301/114356
4408,AdaptNXT Technology Solutions Pvt. Ltd - Tech,CSIS/IT,Bengaluru,Karnataka,India,Onsite,"First Floor, L, 374, 5th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102 First Floor, L, 374, 5th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102","https://www.google.com/maps/search/First+Floor,+L,+374,+5th+Main+Rd,+Sector+6,+HSR+Layout,+Bengaluru,+Karnataka+560102+First+Floor,+L,+374,+5th+Main+Rd,+Sector+6,+HSR+Layout,+Bengaluru,+Karnataka+560102",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/4408/114356
6753,"Advanced Systems Laboratory, DRDO",Mechanical,Hyderabad,Telangana,India,Onsite,Hyderabad Hyderabad,https://www.google.com/maps/search/Hyderabad+Hyderabad,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/6753/114356
6874,AI Gurukul,CSIS/IT,Pilani,Rajasthan,India,Online,BITS Pilani Pilani Campus,https://www.google.com/maps/search/BITS+Pilani+Pilani+Campus,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/6874/114356
4521,Airports Authority of India (AAI),Electronics,Delhi,Delhi,India,Onsite,NEW DELHI NEW DELHI,https://www.google.com/maps/search/NEW+DELHI+NEW+DELHI,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/4521/114356
8670,Airports Authority of India (AAI)- Guwahati,Electronics,Guwahati,Assam,India,Onsite,Guwahati 	 Guwahati,https://www.google.com/maps/search/Guwahati+	+Guwahati,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8670/114356
8672,Airports Authority of India (AAI)- Kanpur,Electronics,Kanpur,Uttar Pradesh,India,Onsite,Kanpur Kanpur,https://www.google.com/maps/search/Kanpur+Kanpur,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8672/114356
8639,Aivid Techvision,Finance and Mgmt,Ahmedabad,Gujarat,India,Onsite,"303 WestFace Zydus Hospital Road, Hebatpur Rd, near Baghban Crossroads, Thaltej, Ahmedabad, Gujarat 380059 303 WestFace Zydus Hospital Road, Hebatpur Rd, near Baghban Crossroads, Thaltej, Ahmedabad, Gujarat 380059","https://www.google.com/maps/search/303+WestFace+Zydus+Hospital+Road,+Hebatpur+Rd,+near+Baghban+Crossroads,+Thaltej,+Ahmedabad,+Gujarat+380059+303+WestFace+Zydus+Hospital+Road,+Hebatpur+Rd,+near+Baghban+Crossroads,+Thaltej,+Ahmedabad,+Gujarat+380059",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8639/114356
8809,AKRITI PHARMACEUTICALS P Ltd,Finance and Mgmt,Mumbai,Maharashtra,India,Online,"Office No. 205 & 206, Thane Mint Indiabulls, Behind Hiranandani Meadows, Near Hyde Park, Off Gladys Alvaris Road, Thane West, Thane, Maharashtra, 400610. Office No. 205 & 206, Thane Mint Indiabulls, Behind Hiranandani Meadows, Near Hyde Park, Off Gladys Alvaris Road, Thane West, Thane, Maharashtra, 400610.","https://www.google.com/maps/search/Office+No.+205+&+206,+Thane+Mint+Indiabulls,+Behind+Hiranandani+Meadows,+Near+Hyde+Park,+Off+Gladys+Alvaris+Road,+Thane+West,+Thane,+Maharashtra,+400610.+Office+No.+205+&+206,+Thane+Mint+Indiabulls,+Behind+Hiranandani+Meadows,+Near+Hyde+Park,+Off+Gladys+Alvaris+Road,+Thane+West,+Thane,+Maharashtra,+400610.",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8809/114356
4286,Albatross Energetics,Mechanical,Mumbai,Maharashtra,India,Onsite,"6006, Rahul Bajaj Technology Innovation Centre,  IIT Bombay, Powai, Mumbai 400076","https://www.google.com/maps/search/6006,+Rahul+Bajaj+Technology+Innovation+Centre,++IIT+Bombay,+Powai,+Mumbai+400076",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/4286/114356
8857,Alchemy Capital Management,Finance and Mgmt,Mumbai,Maharashtra,India,Onsite,"Amar Chand Mansion, B-4, Madame Cama Rd, Dr Ambedkar Statue Chowk Area, Colaba,  Mumbai, Maharashtra 400001","https://www.google.com/maps/search/Amar+Chand+Mansion,+B-4,+Madame+Cama+Rd,+Dr+Ambedkar+Statue+Chowk+Area,+Colaba,++Mumbai,+Maharashtra+400001",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8857/114356
8650,Amritatva Farm - Digital Marketing & Content Strategy,Finance and Mgmt,New Delhi,Delhi,India,Online,Delhi India,https://www.google.com/maps/search/Delhi+India,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8650/114356
8654,Amritatva Farm - Market Expansion & Business Development-Bengaluru,Finance and Mgmt,Bengaluru,Karnataka,India,Onsite,Bengaluru Karnataka,https://www.google.com/maps/search/Bengaluru+Karnataka,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8654/114356
